TokenID OwnerAgentID LifeCycleCurveShape  DoB  DoD 
393 4079 Revival_2x 4 15
394 4085 Fad_2x 4 13
395 4086 Revival_1x 4 16
396 4110 Extended_Fad_4x 4 16
397 4113 Boom_classic_4x 4 16
398 4133 Fad_4x 4 13
399 4134 Traditional_3x 4 15
400 4136 Traditional_4x 4 16
401 4139 Extended_Fad_1x 4 12
402 4142 Extended_Fad_4x 4 18
403 4146 Fad_2x 4 14
404 4148 Fad_4x 4 17
405 4154 Boom_classic_3x 4 17
406 4172 Revival_2x 4 15
407 4175 Bust_3x 4 15
408 4179 Extended_Fad_1x 4 14
409 4190 Seasonal_1x 4 15
410 4196 Revival_3x 4 16
411 4199 Extended_Fad_1x 4 12
412 4202 Bust_1x 5 14
413 4219 Fad_3x 5 18
414 4231 Extended_Fad_3x 5 14
415 4238 Seasonal_4x 5 16
416 4245 Traditional_4x 5 14
417 4246 Fad_3x 5 17
418 4252 Seasonal_3x 5 17
419 4269 Fad_1x 5 16
420 4277 Extended_Fad_4x 5 16
421 4281 Extended_Fad_4x 5 16
422 4285 Fad_2x 5 19
423 4286 Traditional_3x 5 15
424 4297 Bust_4x 5 16
425 4309 Seasonal_4x 5 16
426 4313 Fad_2x 5 16
427 4337 Traditional_2x 5 19
428 4345 Bust_3x 5 16
429 4349 Bust_4x 5 18
430 4350 Extended_Fad_3x 5 18
431 4351 Boom_classic_1x 5 19
432 4362 Seasonal_4x 5 15
433 4364 Boom_classic_2x 5 17
434 4394 Boom_classic_2x 5 17
435 4407 Extended_Fad_3x 5 15
436 4437 Boom_classic_2x 5 14
437 4448 Fad_4x 5 17
438 4457 Traditional_4x 5 15
439 4471 Fad_3x 5 18
440 4473 Seasonal_1x 5 17
441 4492 Extended_Fad_1x 5 16
442 4507 Boom_classic_3x 5 16
443 4518 Fad_3x 5 15
444 4531 Extended_Fad_2x 5 14
445 4537 Boom_classic_1x 5 16
446 4554 Fad_2x 5 15
447 4564 Boom_classic_3x 5 16
448 4594 Revival_1x 5 20
449 4596 Seasonal_3x 5 15
450 4604 Fad_1x 5 14
451 4618 Extended_Fad_1x 5 17
452 4620 Seasonal_4x 5 18
453 4622 Extended_Fad_3x 5 20
454 4636 Traditional_1x 5 15
455 4644 Revival_4x 5 18
456 4653 Bust_4x 5 16
457 4683 Boom_classic_2x 5 17
458 4690 Traditional_2x 5 14
459 4698 Fad_3x 5 16
460 4703 Traditional_4x 5 16
461 4718 Seasonal_1x 5 19
462 4723 Seasonal_3x 5 18
463 4739 Traditional_2x 5 14
464 4765 Bust_3x 5 13
465 4783 Traditional_1x 5 16
466 4785 Extended_Fad_4x 5 17
467 4791 Seasonal_2x 5 14
468 4797 Seasonal_2x 5 16
469 4816 Revival_3x 5 16
470 4831 Boom_classic_1x 5 17
471 4839 Seasonal_1x 5 16
472 4840 Bust_3x 5 17
473 4841 Revival_4x 5 15
474 4853 Seasonal_4x 5 17
475 4855 Revival_3x 5 17
476 4875 Revival_1x 5 14
477 4877 Traditional_1x 5 14
478 4879 Revival_2x 5 16
479 4881 Revival_1x 5 16
480 4891 Fad_3x 5 16
481 4907 Boom_classic_4x 5 17
482 4911 Fad_4x 5 16
483 4916 Boom_classic_2x 5 17
484 4918 Revival_1x 5 17
485 4923 Revival_2x 5 19
486 4928 Bust_3x 5 19
487 4933 Bust_4x 5 13
488 4935 Boom_classic_4x 5 18
489 4937 Boom_classic_4x 5 17
490 4941 Boom_classic_4x 5 16
491 4948 Seasonal_1x 5 19
492 4951 Boom_classic_2x 5 15
493 4965 Seasonal_1x 5 18
494 4987 Bust_2x 5 13
495 4992 Bust_2x 5 15
